Cboe Volume and Put/Call Ratio data is provided for informational purposes only. The volume data reflected below may be based upon preliminary reported volume rather than cleared volume. Cboe makes no guarantee as to the accuracy of the data. Your use of Cboe Volume and Put/Call Ratio data is subject to the�Terms and Conditions�of the Cboe Websites.,,,,
Date,SPX Put/Call Ratio,SPX Put Volume,SPX Call Volume,Total SPX Options Volume
07/30/2014,1.59,439519,276877,716396
07/31/2014,1.95,988017,507209,1495226
08/01/2014,2.36,1179694,500491,1680185
08/04/2014,2.7,676478,250467,926945
08/05/2014,2.36,603013,255745,858758
08/06/2014,2.22,547500,246158,793658
08/07/2014,2.04,786975,386229,1173204
08/08/2014,2.18,726756,334012,1060768
08/11/2014,2.06,491209,238046,729255
08/12/2014,1.79,600950,335051,936001
08/13/2014,1.53,459483,301285,760768
08/14/2014,1.84,594468,322255,916723
08/15/2014,2.72,908469,334363,1242832
08/18/2014,1.64,514947,314080,829027
08/19/2014,1.74,538864,308841,847705
08/20/2014,1.21,511149,422290,933439
08/21/2014,1.49,500747,336674,837421
08/22/2014,2.15,602436,280042,882478
08/25/2014,1.38,359675,259715,619390
08/26/2014,1.24,329947,266323,596270
08/27/2014,1.57,308872,196809,505681
08/28/2014,1.68,416379,247478,663857
08/29/2014,2.39,543310,227773,771083
09/02/2014,1.76,367277,208462,575739
09/03/2014,1.53,390117,254761,644878
09/04/2014,1.47,550182,375513,925695
09/05/2014,2.02,627981,310773,938754
09/08/2014,1.59,380953,239785,620738
09/09/2014,2.28,450614,197242,647856
09/10/2014,2.64,474155,179921,654076
09/11/2014,2.05,510311,248969,759280
09/12/2014,2.07,729577,352447,1082024
09/15/2014,2.19,511734,233310,745044
09/16/2014,1.4,483994,345070,829064
09/17/2014,1.49,555120,371817,926937
09/18/2014,1.57,557697,355465,913162
09/19/2014,2.07,710750,343478,1054228
09/22/2014,1.62,522038,321438,843476
09/23/2014,2.11,458258,217573,675831
09/24/2014,1.5,477349,318366,795715
09/25/2014,1.79,719361,402419,1121780
09/26/2014,2.47,730548,296188,1026736
09/29/2014,2.78,535942,192989,728931
09/30/2014,2.11,552515,262030,814545
10/01/2014,1.83,884404,482995,1367399
10/02/2014,1.55,785525,506282,1291807
10/03/2014,2.02,707309,349946,1057255
10/06/2014,2.05,473374,230905,704279
10/07/2014,2.09,605349,289557,894906
10/08/2014,1.59,756594,475316,1231910
10/09/2014,2.09,795080,380568,1175648
10/10/2014,2.44,1113738,457040,1570778
10/13/2014,2.38,1270411,533081,1803492
10/14/2014,2.4,1186923,494080,1681003
10/15/2014,2.46,1901959,774105,2676064
10/16/2014,2.13,1312033,614887,1926920
10/17/2014,2.74,954826,348509,1303335
10/20/2014,2.3,638039,277864,915903
10/21/2014,1.87,1035058,552970,1588028
10/22/2014,2.22,865409,390312,1255721
10/23/2014,1.41,626925,444288,1071213
10/24/2014,1.68,484745,288814,773559
10/27/2014,1.73,446703,257946,704649
10/28/2014,1.66,726043,437977,1164020
10/29/2014,1.41,720535,510539,1231074
10/30/2014,1.85,593449,320980,914429
10/31/2014,1.04,896095,865128,1761223
11/03/2014,1.63,595669,366193,961862
11/04/2014,1.4,388788,277736,666524
11/05/2014,1.47,468562,317994,786556
11/06/2014,1.24,535570,430195,965765
11/07/2014,1.64,576462,352177,928639
11/10/2014,1.53,474861,309617,784478
11/11/2014,1.66,397231,239760,636991
11/12/2014,1.32,427243,324780,752023
11/13/2014,1.46,611926,418843,1030769
11/14/2014,1.73,546986,316192,863178
11/17/2014,1.86,436488,235241,671729
11/18/2014,1.45,567894,391010,958904
11/19/2014,1.79,564394,314800,879194
11/20/2014,2.16,628570,290682,919252
11/21/2014,1.58,718271,454439,1172710
11/24/2014,1.68,389109,231246,620355
11/25/2014,2.07,409023,197803,606826
11/26/2014,1.58,409158,258151,667309
11/28/2014,2.31,524876,227338,752214
12/01/2014,2.48,517044,208067,725111
12/02/2014,2.01,395327,197016,592343
12/03/2014,1.24,380244,306697,686941
12/04/2014,1.77,495291,279695,774986
12/05/2014,1.92,752576,391796,1144372
12/08/2014,2.11,616730,291707,908437
12/09/2014,1.94,562163,289599,851762
12/10/2014,1.99,636595,319609,956204
12/11/2014,1.79,576418,321709,898127
12/12/2014,2.49,1072264,430079,1502343
12/15/2014,2.46,913199,371125,1284324
12/16/2014,2.04,832336,408655,1240991
12/17/2014,2.63,1081379,411255,1492634
12/18/2014,1.05,764595,725399,1489994
12/19/2014,1.7,946019,557587,1503606
12/22/2014,1.53,474255,308987,783242
12/23/2014,1.85,510516,276001,786517
12/24/2014,1.62,275937,169843,445780
12/26/2014,1.09,422639,386234,808873
12/29/2014,1.34,355021,265433,620454
12/30/2014,1.8,580701,321781,902482
12/31/2014,1.48,577288,391298,968586
01/02/2015,2.6,789157,303486,1092643
01/05/2015,2.19,826362,377029,1203391
01/06/2015,1.92,754945,393452,1148397
01/07/2015,1.59,593878,373175,967053
01/08/2015,1.71,674509,393823,1068332
01/09/2015,2.04,685057,335827,1020884
01/12/2015,2.39,422785,176786,599571
01/13/2015,1.58,556711,352775,909486
01/14/2015,2,728716,365148,1093864
01/15/2015,1.71,703734,412082,1115816
01/16/2015,2.15,789481,366832,1156313
01/20/2015,2.03,434068,213535,647603
01/21/2015,2.03,605587,298892,904479
01/22/2015,1.86,600534,322789,923323
01/23/2015,1.93,765700,397370,1163070
01/26/2015,1.8,402960,224307,627267
01/27/2015,1.85,460497,248562,709059
01/28/2015,1.78,516112,290123,806235
01/29/2015,1.99,775728,390091,1165819
01/30/2015,2.53,848370,335027,1183397
02/02/2015,1.63,517383,317856,835239
02/03/2015,1.94,631515,324970,956485
02/04/2015,2.25,444060,197209,641269
02/05/2015,1.73,510099,295066,805165
02/06/2015,1.76,952765,540680,1493445
02/09/2015,1.9,500183,263765,763948
02/10/2015,1.68,452752,268715,721467
02/11/2015,1.85,431492,233132,664624
02/12/2015,1.56,556697,356497,913194
02/13/2015,1.97,718077,365246,1083323
02/17/2015,1.74,482654,277384,760038
02/18/2015,2.19,773750,352627,1126377
02/19/2015,1.46,596989,408788,1005777
02/20/2015,1.78,586675,330429,917104
02/23/2015,1.55,374905,242287,617192
02/24/2015,2.08,615948,296780,912728
02/25/2015,1.89,554988,293878,848866
02/26/2015,1.97,375020,190112,565132
02/27/2015,2.03,650926,320577,971503
03/02/2015,1.97,398007,201838,599845
03/03/2015,2.54,462254,181981,644235
03/04/2015,1.98,466007,235383,701390
03/05/2015,2.04,339176,166609,505785
03/06/2015,2.15,852724,397491,1250215
03/09/2015,2.07,386090,186280,572370
03/10/2015,1.67,723353,433070,1156423
03/11/2015,2.26,548603,242495,791098
03/12/2015,1.9,466340,245455,711795
03/13/2015,2.09,694944,331765,1026709
03/16/2015,1.79,479579,267664,747243
03/17/2015,1.5,329087,218964,548051
03/18/2015,2.21,810139,366202,1176341
03/19/2015,1.39,662196,474776,1136972
03/20/2015,1.57,600028,383346,983374
03/23/2015,1.91,411746,215216,626962
03/24/2015,1.97,470538,239087,709625
03/25/2015,2.07,551465,265986,817451
03/26/2015,1.82,682322,375404,1057726
03/27/2015,1.89,584344,309385,893729
03/30/2015,2.12,536716,253252,789968
03/31/2015,1.69,424457,251322,675779
04/01/2015,2.23,589907,263953,853860
04/02/2015,1.9,467960,246850,714810
04/06/2015,2.09,400368,191699,592067
04/07/2015,1.58,413645,261044,674689
04/08/2015,2.17,385557,178080,563637
04/09/2015,1.88,473007,251393,724400
04/10/2015,2.04,667892,326646,994538
04/13/2015,1.55,424125,274456,698581
04/14/2015,1.9,443842,233525,677367
04/15/2015,1.53,594675,388759,983434
04/16/2015,1.62,463949,286843,750792
04/17/2015,2.46,819693,333427,1153120
04/20/2015,2.01,332148,165098,497246
04/21/2015,1.72,382469,222436,604905
04/22/2015,2.01,400890,199217,600107
04/23/2015,2.16,536192,248554,784746
04/24/2015,1.44,558373,386993,945366
04/27/2015,2.01,500823,248863,749686
04/28/2015,1.53,317604,207558,525162
04/29/2015,1.85,478893,259474,738367
04/30/2015,2.14,666001,310820,976821
05/01/2015,1.87,694633,372035,1066668
05/04/2015,2.38,448116,188339,636455
05/05/2015,2.14,488655,228035,716690
05/06/2015,1.86,614448,330094,944542
05/07/2015,1.66,515907,309952,825859
05/08/2015,1.66,661166,398738,1059904
05/11/2015,1.97,447549,227239,674788
05/12/2015,2.74,598879,218570,817449
05/13/2015,1.9,367605,192969,560574
05/14/2015,1.33,562169,424206,986375
05/15/2015,2.39,578090,241470,819560
05/18/2015,1.85,520762,281179,801941
05/19/2015,1.54,351924,228105,580029
05/20/2015,2.32,489025,210718,699743
05/21/2015,1.57,412380,263005,675385
05/22/2015,1.97,537103,272984,810087
05/26/2015,1.96,599426,305688,905114
05/27/2015,1.6,470704,293684,764388
05/28/2015,2.17,454184,209548,663732
05/29/2015,2.67,699302,262324,961626
06/01/2015,1.71,430782,251751,682533
06/02/2015,2.45,487200,199211,686411
06/03/2015,1.8,370701,205937,576638
06/04/2015,2.98,897940,301140,1199080
06/05/2015,2.15,770510,358713,1129223
06/08/2015,1.92,566791,294443,861234
06/09/2015,2.09,533464,255580,789044
06/10/2015,2.01,582371,289198,871569
06/11/2015,1.95,475568,243259,718827
06/12/2015,1.91,699050,365477,1064527
06/15/2015,1.8,531801,294662,826463
06/16/2015,1.58,456344,288588,744932
06/17/2015,2.15,589702,274872,864574
06/18/2015,1.31,743906,569298,1313204
06/19/2015,2.47,659634,266708,926342
06/22/2015,1.88,509817,271867,781684
06/23/2015,2.34,407139,174027,581166
06/24/2015,1.91,507046,265931,772977
06/25/2015,1.74,475257,273236,748493
06/26/2015,1.87,684202,366378,1050580
06/29/2015,2.63,1161392,442152,1603544
06/30/2015,2.03,841998,413760,1255758
07/01/2015,2.26,691104,305498,996602
07/02/2015,2.33,679304,291305,970609
07/06/2015,1.99,591618,297892,889510
07/07/2015,1.64,723504,439936,1163440
07/08/2015,3.11,787358,253229,1040587
07/09/2015,2.29,742949,324976,1067925
07/10/2015,1.9,807304,424485,1231789
07/13/2015,2.12,785084,370682,1155766
07/14/2015,1.52,514044,338021,852065
07/15/2015,1.58,546163,344618,890781
07/16/2015,1.25,763738,612200,1375938
07/17/2015,1.99,632086,316988,949074
07/20/2015,1.69,526200,310797,836997
07/21/2015,1.83,484429,264525,748954
07/22/2015,2.04,580781,284726,865507
07/23/2015,1.68,565254,337052,902306
07/24/2015,2.57,1015436,394892,1410328
07/27/2015,2.43,771627,317165,1088792
07/28/2015,1.9,577548,304107,881655
07/29/2015,1.75,460356,263240,723596
07/30/2015,1.42,432168,305144,737312
07/31/2015,2.26,663875,294281,958156
08/03/2015,1.86,535950,288574,824524
08/04/2015,2.12,376869,178053,554922
08/05/2015,2.1,448775,214053,662828
08/06/2015,1.82,724607,397880,1122487
08/07/2015,2.06,866181,419724,1285905
08/10/2015,1.85,496603,268869,765472
08/11/2015,2.1,689019,328536,1017555
08/12/2015,1.91,860969,451786,1312755
08/13/2015,2.17,564548,260085,824633
08/14/2015,2.26,570668,252936,823604
08/17/2015,1.51,482255,318562,800817
08/18/2015,1.57,501338,319422,820760
08/19/2015,1.89,971127,514928,1486055
08/20/2015,2.34,1359275,581975,1941250
